facility_name_static,parking_id,static_data_url,limited_access,static_data_last_updated,dynamic_data_url,locationfordisplay,matched_city_static,address,latitude,longitude,capacity_static,opening_hours_summary,opening_mon,opening_tue,opening_wed,opening_thu,opening_fri,opening_sat,opening_sun,open_all_year,exit_possible_all_day,open_24_7,matched_office,office_address,office_lat,office_lon,distance_km,parkingfacilitydynamicinformation.name,parkingfacilitydynamicinformation.description,parkingfacilitydynamicinformation.identifier,parkingfacilitydynamicinformation.facilityactualstatus.lastupdated,parkingfacilitydynamicinformation.facilityactualstatus.statusdescription,parkingfacilitydynamicinformation.facilityactualstatus.parkingcapacity,parkingfacilitydynamicinformation.facilityactualstatus.vacantspaces,parkingfacilitydynamicinformation.facilityactualstatus.full,parkingfacilitydynamicinformation.facilityactualstatus.open,facility_name_dynamic,matched_city_dynamic,timestamp,parkingfacilitydynamicinformation.facilityactualstatus.chargepointvacantspaces
Parkeergarage Pas de Deux (Zwolle),a2bc4ea0-a218-4a59-a328-36fb8234402b,https://npropendata.rdw.nl/parkingdata/v2/static/a2bc4ea0-a218-4a59-a328-36fb8234402b,False,1767755239,https://npropendata.rdw.nl/parkingdata/v2/dynamic/a2bc4ea0-a218-4a59-a328-36fb8234402b,,Zwolle,,52.503617,6.091695,204.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.58,Parkeergarage Pas de Deux (Zwolle),OpenParkeerData,a2bc4ea0-a218-4a59-a328-36fb8234402b,1751870878,Free,195,73,False,True,Parkeergarage Pas de Deux (Zwolle),Zwolle,2026-04-21T15:58:09.015678,
Parkeergarage Diezerpoort (Zwolle),68d5fcce-596d-4f6d-97d5-e67f6f644ac7,https://npropendata.rdw.nl/parkingdata/v2/static/68d5fcce-596d-4f6d-97d5-e67f6f644ac7,False,1767755240,https://npropendata.rdw.nl/parkingdata/v2/dynamic/68d5fcce-596d-4f6d-97d5-e67f6f644ac7,,Zwolle,,52.517227,6.100186,611.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.164,Parkeergarage Diezerpoort (Zwolle),OpenParkeerData,68d5fcce-596d-4f6d-97d5-e67f6f644ac7,1751870878,Free,562,418,False,True,Parkeergarage Diezerpoort (Zwolle),Zwolle,2026-04-21T15:58:09.120778,
Parkeergarage Katwoldeplein (Zwolle),92649a4d-67f8-4148-abc5-82cc95dedba3,https://npropendata.rdw.nl/parkingdata/v2/static/92649a4d-67f8-4148-abc5-82cc95dedba3,False,1767755242,https://npropendata.rdw.nl/parkingdata/v2/dynamic/92649a4d-67f8-4148-abc5-82cc95dedba3,,Zwolle,,52.51436,6.086261,700.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,0.35,Parkeergarage Katwoldeplein (Zwolle),OpenParkeerData,92649a4d-67f8-4148-abc5-82cc95dedba3,1751870878,Free,679,566,False,True,Parkeergarage Katwoldeplein (Zwolle),Zwolle,2026-04-21T15:58:09.225033,
Burgemeester van Roijensingel (Zwolle),809116db-8166-4d66-93d1-fc859f4449d8,https://npropendata.rdw.nl/parkingdata/v2/static/809116db-8166-4d66-93d1-fc859f4449d8,False,1767755244,https://npropendata.rdw.nl/parkingdata/v2/dynamic/809116db-8166-4d66-93d1-fc859f4449d8,,Zwolle,,52.507872,6.094565,190.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.264,Burgemeester van Roijensingel (Zwolle),OpenParkeerData,809116db-8166-4d66-93d1-fc859f4449d8,1751870878,Free,173,62,False,True,Burgemeester van Roijensingel (Zwolle),Zwolle,2026-04-21T15:58:09.314711,
Parkeergarage Emmawijk - Dek (Zwolle),2d8e6321-7108-4763-ba53-5d107ff6e674,https://npropendata.rdw.nl/parkingdata/v2/static/2d8e6321-7108-4763-ba53-5d107ff6e674,False,1767755240,https://npropendata.rdw.nl/parkingdata/v2/dynamic/2d8e6321-7108-4763-ba53-5d107ff6e674,,Zwolle,,52.509209,6.086367,100.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,0.874,Parkeergarage Emmawijk,OpenParkeerData,2d8e6321-7108-4763-ba53-5d107ff6e674,1751870878,Free,199,151,False,True,Parkeergarage Emmawijk - Dek (Zwolle),Zwolle,2026-04-21T15:58:09.416157,
Parkeergarage Noordereiland - Dek (Zwolle),ff27bae8-ce05-40c6-8422-03da3bd7d9e1,https://npropendata.rdw.nl/parkingdata/v2/static/ff27bae8-ce05-40c6-8422-03da3bd7d9e1,False,1767755242,https://npropendata.rdw.nl/parkingdata/v2/dynamic/ff27bae8-ce05-40c6-8422-03da3bd7d9e1,,Zwolle,,52.515666,6.095621,330.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,0.863,Parkeergarage Noordereiland (Zwolle),OpenParkeerData,ff27bae8-ce05-40c6-8422-03da3bd7d9e1,1751870878,Free,670,553,False,True,Parkeergarage Noordereiland - Dek (Zwolle),Zwolle,2026-04-21T15:58:09.519571,
Parkeergarage Lübeckplein (Zwolle),9e43035c-6707-4b47-a263-d62f0c5d5f84,https://npropendata.rdw.nl/parkingdata/v2/static/9e43035c-6707-4b47-a263-d62f0c5d5f84,False,1767755242,https://npropendata.rdw.nl/parkingdata/v2/dynamic/9e43035c-6707-4b47-a263-d62f0c5d5f84,,Zwolle,,52.503792,6.088352,385.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.491,Lubeckplein,OpenParkeerData,9e43035c-6707-4b47-a263-d62f0c5d5f84,1751870878,Free,355,171,False,True,Parkeergarage Lübeckplein (Zwolle),Zwolle,2026-04-21T15:58:09.619131,
Parkeerterrein Hanzelaan (Zwolle),8d632d4a-e8a0-4a18-8c6f-c9f84140464b,https://npropendata.rdw.nl/parkingdata/v2/static/8d632d4a-e8a0-4a18-8c6f-c9f84140464b,False,1767755241,https://npropendata.rdw.nl/parkingdata/v2/dynamic/8d632d4a-e8a0-4a18-8c6f-c9f84140464b,,Zwolle,,52.501297,6.097804,335.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.994,Hanzeland (Zwolle),OpenParkeerData,8d632d4a-e8a0-4a18-8c6f-c9f84140464b,1750735072,Closed,0,0,True,False,Parkeerterrein Hanzelaan (Zwolle),Zwolle,2026-04-21T15:58:09.712920,
Garage Centraal (Arnhem),b94f5b35-9793-43f9-927a-889478d76806,https://npropendata.rdw.nl/parkingdata/v2/static/b94f5b35-9793-43f9-927a-889478d76806,False,1765767988,https://npropendata.rdw.nl/parkingdata/v2/dynamic/b94f5b35-9793-43f9-927a-889478d76806,,Arnhem,,51.984411,5.899326,1050.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,0.088,AHP03 - Centraal,,b94f5b35-9793-43f9-927a-889478d76806,1776779850,,1050,215,False,True,Garage Centraal (Arnhem),Arnhem,2026-04-21T15:58:09.804216,
Garage Velperplein (Arnhem),55f5c0fa-d690-4528-90fb-5fe851c476ec,https://npropendata.rdw.nl/parkingdata/v2/static/55f5c0fa-d690-4528-90fb-5fe851c476ec,False,1765767990,https://npropendata.rdw.nl/parkingdata/v2/dynamic/55f5c0fa-d690-4528-90fb-5fe851c476ec,,Arnhem,,51.984368,5.912586,129.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,0.954,AHP02 - Velperplein,,55f5c0fa-d690-4528-90fb-5fe851c476ec,1776779850,,147,54,False,True,Garage Velperplein (Arnhem),Arnhem,2026-04-21T15:58:09.895892,
Garage Rozet (Arnhem),45abe415-46d3-422f-9db5-4a783328e490,https://npropendata.rdw.nl/parkingdata/v2/static/45abe415-46d3-422f-9db5-4a783328e490,False,1765767989,https://npropendata.rdw.nl/parkingdata/v2/dynamic/45abe415-46d3-422f-9db5-4a783328e490,,Arnhem,,51.979481,5.906031,450.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,0.802,AHP04 - Rozet,,45abe415-46d3-422f-9db5-4a783328e490,1776779850,,450,34,False,True,Garage Rozet (Arnhem),Arnhem,2026-04-21T15:58:09.983644,
Garage Musis (Arnhem),3e43afd2-aa12-4986-9927-73f883d30e55,https://npropendata.rdw.nl/parkingdata/v2/static/3e43afd2-aa12-4986-9927-73f883d30e55,False,1765767989,https://npropendata.rdw.nl/parkingdata/v2/dynamic/3e43afd2-aa12-4986-9927-73f883d30e55,,Arnhem,,51.981698,5.913364,690.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,1.073,AHP05 - Musis,,3e43afd2-aa12-4986-9927-73f883d30e55,1776779850,,690,164,False,True,Garage Musis (Arnhem),Arnhem,2026-04-21T15:58:10.087862,
Garage De Grifthoek (Utrecht),ed1ecb9f-bbf1-4578-97c7-16cd3ed8b4da,https://npropendata.rdw.nl/parkingdata/v2/static/ed1ecb9f-bbf1-4578-97c7-16cd3ed8b4da,False,1733981393,https://npropendata.rdw.nl/parkingdata/v2/dynamic/ed1ecb9f-bbf1-4578-97c7-16cd3ed8b4da,,Utrecht,,52.09805,5.126233,320.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,0.881,Grifthoek - Grifthoek,,ed1ecb9f-bbf1-4578-97c7-16cd3ed8b4da,1776779851,,230,78,False,True,Garage De Grifthoek (Utrecht),Utrecht,2026-04-21T15:58:10.186929,
Garage P3 Radboud (Utrecht),200e0f50-57f5-4cb8-9a46-e172ed735a86,https://npropendata.rdw.nl/parkingdata/v2/static/200e0f50-57f5-4cb8-9a46-e172ed735a86,False,1733981558,https://npropendata.rdw.nl/parkingdata/v2/dynamic/200e0f50-57f5-4cb8-9a46-e172ed735a86,,Utrecht,,52.089804,5.113256,451.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,0.565,Hoog Catharijne P3 - Hoog Catharijne P3 (Radboud),,200e0f50-57f5-4cb8-9a46-e172ed735a86,1776779550,,431,290,False,True,Garage P3 Radboud (Utrecht),Utrecht,2026-04-21T15:58:10.304045,
Garage P6 Rijnkade (Utrecht),70abd541-a025-4b29-b99c-0a96a6f23a06,https://npropendata.rdw.nl/parkingdata/v2/static/70abd541-a025-4b29-b99c-0a96a6f23a06,False,1733981560,https://npropendata.rdw.nl/parkingdata/v2/dynamic/70abd541-a025-4b29-b99c-0a96a6f23a06,,Utrecht,,52.090173,5.11464,368.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,0.466,Hoog Catharijne P6 - Hoog Catharijne P6 (Rijnkade),,70abd541-a025-4b29-b99c-0a96a6f23a06,1776779550,,279,279,True,True,Garage P6 Rijnkade (Utrecht),Utrecht,2026-04-21T15:58:10.397547,
Garage P5 Vredenburg (Utrecht),552a9b88-f367-42ba-a429-0abdafd14886,https://npropendata.rdw.nl/parkingdata/v2/static/552a9b88-f367-42ba-a429-0abdafd14886,False,1720672447,https://npropendata.rdw.nl/parkingdata/v2/dynamic/552a9b88-f367-42ba-a429-0abdafd14886,,Utrecht,,52.091459,5.113454,1184.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,0.549,Hoog Catharijne P5 - Hoog Catharijne P5 (Vredenburg),,552a9b88-f367-42ba-a429-0abdafd14886,1776779550,,1247,650,False,True,Garage P5 Vredenburg (Utrecht),Utrecht,2026-04-21T15:58:10.501102,
Garage Hoog Catharijne P2 (Utrecht),c479f58b-1683-4321-adff-3e54ad468e59,https://npropendata.rdw.nl/parkingdata/v2/static/c479f58b-1683-4321-adff-3e54ad468e59,False,1733981557,https://npropendata.rdw.nl/parkingdata/v2/dynamic/c479f58b-1683-4321-adff-3e54ad468e59,,Utrecht,,52.089612,5.113428,318.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,0.558,Hoog Catharijne P2 - Hoog Catharijne P2 (Godebald),,c479f58b-1683-4321-adff-3e54ad468e59,1776779550,,317,245,False,True,Garage Hoog Catharijne P2 (Utrecht),Utrecht,2026-04-21T15:58:10.600857,
Garage Kruisstraat (Utrecht),5c7a3167-55bd-441f-bd09-60e97503a603,https://npropendata.rdw.nl/parkingdata/v2/static/5c7a3167-55bd-441f-bd09-60e97503a603,False,1733981395,https://npropendata.rdw.nl/parkingdata/v2/dynamic/5c7a3167-55bd-441f-bd09-60e97503a603,,Utrecht,,52.09373,5.129327,105.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,0.638,Kruisstraat - Kruisstraat,,5c7a3167-55bd-441f-bd09-60e97503a603,1776779851,,102,72,False,True,Garage Kruisstraat (Utrecht),Utrecht,2026-04-21T15:58:10.949858,
Garage P4 Stationsstraat (Utrecht),294157b9-5428-41d8-8f3a-252193ebe97d,https://npropendata.rdw.nl/parkingdata/v2/static/294157b9-5428-41d8-8f3a-252193ebe97d,False,1733981558,https://npropendata.rdw.nl/parkingdata/v2/dynamic/294157b9-5428-41d8-8f3a-252193ebe97d,,Utrecht,,52.0913,5.11184,391.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,0.657,Hoog Catharijne P4 - Hoog Catharijne P4 (Stationstraat),,294157b9-5428-41d8-8f3a-252193ebe97d,1776779550,,382,252,False,True,Garage P4 Stationsstraat (Utrecht),Utrecht,2026-04-21T15:58:11.151956,
Garage Hoog Catharijne P1 (utrecht),40212393-05d9-45a4-a287-123af9ad325a,https://npropendata.rdw.nl/parkingdata/v2/static/40212393-05d9-45a4-a287-123af9ad325a,False,1733981557,https://npropendata.rdw.nl/parkingdata/v2/dynamic/40212393-05d9-45a4-a287-123af9ad325a,,Utrecht,,52.089612,5.113428,359.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,0.558,Hoog Catharijne P1 - Hoog Catharijne P1 (Moreelsepark),,40212393-05d9-45a4-a287-123af9ad325a,1776779550,,348,209,False,True,Garage Hoog Catharijne P1 (utrecht),Utrecht,2026-04-21T15:58:11.239288,
P+R Stationsweg (Breda),b17c99c0-65af-4451-a700-a21b24fc611e,https://npropendata.rdw.nl/parkingdata/v2/static/b17c99c0-65af-4451-a700-a21b24fc611e,False,1733981526,https://npropendata.rdw.nl/parkingdata/v2/dynamic/b17c99c0-65af-4451-a700-a21b24fc611e,,Breda,,51.595,4.78184,94.0,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,2.734,P+R Breda Stationsweg,P+R Stationsweg (Breda),b17c99c0-65af-4451-a700-a21b24fc611e,1776779716,,39,13,False,True,P+R Stationsweg (Breda),Breda,2026-04-21T15:58:11.571689,0.0
P+R Station (Breda),d5565e93-2f9f-4074-8548-e631b72bae66,https://npropendata.rdw.nl/parkingdata/v2/static/d5565e93-2f9f-4074-8548-e631b72bae66,False,1733981525,https://npropendata.rdw.nl/parkingdata/v2/dynamic/d5565e93-2f9f-4074-8548-e631b72bae66,,Breda,,51.596259,4.777855,728.0,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,2.788,P+R Breda Station OV,P+R Station (Breda),d5565e93-2f9f-4074-8548-e631b72bae66,1776779704,,550,441,False,True,P+R Station (Breda),Breda,2026-04-21T15:58:11.668251,0.0
ZWOLLE-P+R Zwolle,ee748840-6d7e-4be6-980e-5e26ba76ba24,https://npropendata.rdw.nl/parkingdata/v2/static/ee748840-6d7e-4be6-980e-5e26ba76ba24,False,1776224709,https://npropendata.rdw.nl/parkingdata/v2/dynamic/ee748840-6d7e-4be6-980e-5e26ba76ba24,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,,P+R Zwolle,P+R Hanzelaan Zwolle,ee748840-6d7e-4be6-980e-5e26ba76ba24,1776779802,,132,28,False,True,ZWOLLE-P+R Zwolle,Zwolle,2026-04-21T15:58:11.766632,0.0
