parkingFacilityDynamicInformation.name,parkingFacilityDynamicInformation.description,parkingFacilityDynamicInformation.identifier,parkingFacilityDynamicInformation.facilityActualStatus.lastUpdated,parkingFacilityDynamicInformation.facilityActualStatus.statusDescription,parkingFacilityDynamicInformation.facilityActualStatus.parkingCapacity,parkingFacilityDynamicInformation.facilityActualStatus.vacantSpaces,parkingFacilityDynamicInformation.facilityActualStatus.full,parkingFacilityDynamicInformation.facilityActualStatus.open,parking_id,facility_name,matched_city,timestamp,parkingFacilityDynamicInformation.facilityActualStatus.chargePointVacantSpaces
Parkeergarage Pas de Deux (Zwolle),OpenParkeerData,a2bc4ea0-a218-4a59-a328-36fb8234402b,1751870878,Free,195,73,False,True,a2bc4ea0-a218-4a59-a328-36fb8234402b,Parkeergarage Pas de Deux (Zwolle),Zwolle,2026-04-15T15:14:46.880548,
Parkeergarage Diezerpoort (Zwolle),OpenParkeerData,68d5fcce-596d-4f6d-97d5-e67f6f644ac7,1751870878,Free,562,418,False,True,68d5fcce-596d-4f6d-97d5-e67f6f644ac7,Parkeergarage Diezerpoort (Zwolle),Zwolle,2026-04-15T15:14:46.972518,
Parkeergarage Katwoldeplein (Zwolle),OpenParkeerData,92649a4d-67f8-4148-abc5-82cc95dedba3,1751870878,Free,679,566,False,True,92649a4d-67f8-4148-abc5-82cc95dedba3,Parkeergarage Katwoldeplein (Zwolle),Zwolle,2026-04-15T15:14:47.062993,
Burgemeester van Roijensingel (Zwolle),OpenParkeerData,809116db-8166-4d66-93d1-fc859f4449d8,1751870878,Free,173,62,False,True,809116db-8166-4d66-93d1-fc859f4449d8,Burgemeester van Roijensingel (Zwolle),Zwolle,2026-04-15T15:14:47.150037,
Parkeergarage Emmawijk,OpenParkeerData,2d8e6321-7108-4763-ba53-5d107ff6e674,1751870878,Free,199,151,False,True,2d8e6321-7108-4763-ba53-5d107ff6e674,Parkeergarage Emmawijk - Dek (Zwolle),Zwolle,2026-04-15T15:14:47.250430,
Parkeergarage Noordereiland (Zwolle),OpenParkeerData,ff27bae8-ce05-40c6-8422-03da3bd7d9e1,1751870878,Free,670,553,False,True,ff27bae8-ce05-40c6-8422-03da3bd7d9e1,Parkeergarage Noordereiland - Dek (Zwolle),Zwolle,2026-04-15T15:14:47.339926,
Lubeckplein,OpenParkeerData,9e43035c-6707-4b47-a263-d62f0c5d5f84,1751870878,Free,355,171,False,True,9e43035c-6707-4b47-a263-d62f0c5d5f84,Parkeergarage Lübeckplein (Zwolle),Zwolle,2026-04-15T15:14:47.430450,
Hanzeland (Zwolle),OpenParkeerData,8d632d4a-e8a0-4a18-8c6f-c9f84140464b,1750735072,Closed,0,0,True,False,8d632d4a-e8a0-4a18-8c6f-c9f84140464b,Parkeerterrein Hanzelaan (Zwolle),Zwolle,2026-04-15T15:14:47.520150,
AHP03 - Centraal,,b94f5b35-9793-43f9-927a-889478d76806,1776258750,,1050,188,False,True,b94f5b35-9793-43f9-927a-889478d76806,Garage Centraal (Arnhem),Arnhem,2026-04-15T15:14:47.634685,
AHP02 - Velperplein,,55f5c0fa-d690-4528-90fb-5fe851c476ec,1776258750,,147,66,False,True,55f5c0fa-d690-4528-90fb-5fe851c476ec,Garage Velperplein (Arnhem),Arnhem,2026-04-15T15:14:47.744810,
AHP04 - Rozet,,45abe415-46d3-422f-9db5-4a783328e490,1776258750,,450,138,False,True,45abe415-46d3-422f-9db5-4a783328e490,Garage Rozet (Arnhem),Arnhem,2026-04-15T15:14:47.839554,
AHP05 - Musis,,3e43afd2-aa12-4986-9927-73f883d30e55,1776258750,,690,112,False,True,3e43afd2-aa12-4986-9927-73f883d30e55,Garage Musis (Arnhem),Arnhem,2026-04-15T15:14:47.930243,
Grifthoek - Grifthoek,,ed1ecb9f-bbf1-4578-97c7-16cd3ed8b4da,1776258750,,230,83,False,True,ed1ecb9f-bbf1-4578-97c7-16cd3ed8b4da,Garage De Grifthoek (Utrecht),Utrecht,2026-04-15T15:14:48.029849,
Hoog Catharijne P3 - Hoog Catharijne P3 (Radboud),,200e0f50-57f5-4cb8-9a46-e172ed735a86,1776258750,,430,275,False,True,200e0f50-57f5-4cb8-9a46-e172ed735a86,Garage P3 Radboud (Utrecht),Utrecht,2026-04-15T15:14:48.112119,
Hoog Catharijne P6 - Hoog Catharijne P6 (Rijnkade),,70abd541-a025-4b29-b99c-0a96a6f23a06,1776258750,,279,279,True,True,70abd541-a025-4b29-b99c-0a96a6f23a06,Garage P6 Rijnkade (Utrecht),Utrecht,2026-04-15T15:14:48.195708,
Hoog Catharijne P5 - Hoog Catharijne P5 (Vredenburg),,552a9b88-f367-42ba-a429-0abdafd14886,1776258750,,1236,563,False,True,552a9b88-f367-42ba-a429-0abdafd14886,Garage P5 Vredenburg (Utrecht),Utrecht,2026-04-15T15:14:48.290921,
Hoog Catharijne P2 - Hoog Catharijne P2 (Godebald),,c479f58b-1683-4321-adff-3e54ad468e59,1776258750,,310,232,False,True,c479f58b-1683-4321-adff-3e54ad468e59,Garage Hoog Catharijne P2 (Utrecht),Utrecht,2026-04-15T15:14:48.383191,
Kruisstraat - Kruisstraat,,5c7a3167-55bd-441f-bd09-60e97503a603,1776258750,,102,51,False,True,5c7a3167-55bd-441f-bd09-60e97503a603,Garage Kruisstraat (Utrecht),Utrecht,2026-04-15T15:14:48.710449,
Hoog Catharijne P4 - Hoog Catharijne P4 (Stationstraat),,294157b9-5428-41d8-8f3a-252193ebe97d,1776258750,,380,290,False,True,294157b9-5428-41d8-8f3a-252193ebe97d,Garage P4 Stationsstraat (Utrecht),Utrecht,2026-04-15T15:14:48.886733,
Hoog Catharijne P1 - Hoog Catharijne P1 (Moreelsepark),,40212393-05d9-45a4-a287-123af9ad325a,1776258750,,345,215,False,True,40212393-05d9-45a4-a287-123af9ad325a,Garage Hoog Catharijne P1 (utrecht),Utrecht,2026-04-15T15:14:48.986685,
P+R Breda Stationsweg,P+R Stationsweg (Breda),b17c99c0-65af-4451-a700-a21b24fc611e,1776258877,,39,12,False,True,b17c99c0-65af-4451-a700-a21b24fc611e,P+R Stationsweg (Breda),Breda,2026-04-15T15:14:49.328350,0.0
P+R Breda Station OV,P+R Station (Breda),d5565e93-2f9f-4074-8548-e631b72bae66,1776258354,,550,458,False,True,d5565e93-2f9f-4074-8548-e631b72bae66,P+R Station (Breda),Breda,2026-04-15T15:14:49.438898,0.0
P+R Zwolle,P+R Hanzelaan Zwolle,ee748840-6d7e-4be6-980e-5e26ba76ba24,1776258753,,132,83,False,True,ee748840-6d7e-4be6-980e-5e26ba76ba24,ZWOLLE-P+R Zwolle,Zwolle,2026-04-15T15:14:49.529257,0.0
